Your, Name, 
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,-7510529665644882968


Experiment #:,0
Rule:,0214323424142
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9385627380318633,2.1619781796795534,0.0,
1,11,,0.968,0.8461538461538461,2.0364698314597445,2.2577560641285177,0.0,
2,6,,0.8160000000000001,0.7692307692307692,2.183097452892324,2.199687794731328,0.0,
3,3,,0.736,0.6923076923076923,2.2022352668421297,2.161978179679554,0.0,
4,9,,0.656,0.6153846153846154,2.1436985410684497,2.038159681645953,0.0,
5,10,,0.608,0.5384615384615384,2.0294455578274255,1.8919954870390203,0.0,
6,1,,0.5840000000000001,0.46153846153846156,2.01723719737997,1.823026490712885,0.0,
7,12,,0.5760000000000001,0.3846153846153846,2.0120516927013283,1.7004397181410922,0.0,
8,4,,0.45599999999999996,0.3076923076923077,1.5979370512689621,1.352030101757953,0.0,
9,7,,0.31200000000000006,0.23076923076923073,1.0887158858817965,0.9912642605354289,0.0,
10,5,,0.16800000000000004,0.15384615384615385,0.7981133676610608,0.7732283485249176,0.0,
11,8,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0,
12,2,,0.0,0.0,-0.0,-0.0,0.0,
